,time,age,state,gender,occupation,covid_stress,living_with,contacts,covid_info_time,P1,P2,P3,P4,P6,P5a,P5b,P5c,P5d,P5e,P5f,P5g,P5h,P5i,P5j,P7,P8,P9,G1,G2,G3,G4,G5,G6,G7,12grade_nextstep,12grade_choices ,12grade_W1,12grade_W2,12grade_W3,12grade_W4,12grade_W5,12grade_W6,emp_salary_cut,emp_travel,emp_transport,emp_personal_life,emp_pressure,emp_workplace,emp_workflow ,emp_layoffs,emp_fear,emp_screening,emp_canteen,emp_children,emp_body ,emp_preference,emp_performance,unemp_reason,unemp_newjob,unemp_support,unemp_borrow,school_grade,school_hours,school_focus ,school_parents_monitor,school_parents_involve,school_S1 ,school_S2,school_S3,school_S4,school_S5,school_S6,school_S7,school_S8,school_S9,school_S10,school_S11,school_S12,school_S13,school_tuition,school_body,school_rating,college_type,college_focus ,college_parents_monitor ,college_parents_involve,college_S1,college_S2,college_S14,college_S3,college_S4,college_S5,college_S15,college_S7,college_S6,college_S8,college_S9,college_S10,college_S11,college_S12,college_S13,college_hours,college_wakeup,college_rating,college_body,healthcare_contact,healthcare_extra_hours,healthcare_ppe,healthcare_stay,healthcare_mistreat,healthcare_career_risk,healthcare_salary_cut,healthcare_perks,healthcare_food,healthcare_shifts,healthcare_benifits,healthcare_regret,finalyear_plan,finalyear_hours,finalyear_change,finalyear_placements_virtual,finalyear_ms_choices,finalyear_ms_uncertain,finalyear_ms_anxious,finalyear_confidence,finalyear_placements_number,finalyear_S1,finalyear_S2,finalyear_S14,finalyear_S3,finalyear_S4,finalyear_S5,finalyear_S15,finalyear_S7,finalyear_S6,finalyear_S8,finalyear_S9,finalyear_S10,finalyear_S11,finalyear_S12,finalyear_S13,home_workload,home_sharing,home_hustle,home_financial_constraints,home_privacy,home_children,old_delivery,old_status,old_govt_benefits,old_friends,old_entertainment,old_medical_reviews,old_dependent,old_tech,healthcare_type,gad7
274,9/9/2020 18:13:07,19.0,Tamil Nadu,Male,Student in college but not final year.,Medium,Yes,No.,<1 hour/day,3:00:00 AM,30.0,8:00:00 AM,5.0,Fairly Bad,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,More than half the days,Several days,Nearly every day,Nearly every day,Several days,Several days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS-MS 3rd year,Yes,No,They interfere a lot more now. And I don't like it.,Medium,Medium,High,Medium,High,Medium,Medium,Medium,High,Very High,Very High,Very High,Low,Low,Very Low,20.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
275,9/9/2020 18:56:48,18.0,Karnataka,Male,Student in college but not final year.,Medium,No,No.,<1 hour/day,3:30:00 AM,45.0,12:00:00 PM,7.0,Fairly good,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Not at all,Several days,Not at all,Not at all,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS-MS,Yes,No,They are not involved at all.,,,,Very Low,Medium,Very Low,Very Low,Medium,Very Low,Very Low,Low,Medium,,,,7.0,I've missed quite a lot of classes because I can't wake up.,4.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
276,9/9/2020 18:56:50,22.0,Maharashtra,Male,Student in college but not final year.,High,Yes,No.,1-2 hours/day,2:00:00 AM,70.0,11:00:00 AM,6.0,Fairly Bad,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Three or more times a week,Once or twice a week,Not during the past month,Less than once a week.,Three or more times a week.,Three or more times a week.,Several days,More than half the days,More than half the days,More than half the days,Several days,Nearly every day,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science,Yes,No,They interfere a lot more now. And I don't like it.,High,High,Very High,Low,Very Low,Low,Medium,,,Very Low,High,High,Very Low,,High,22.0,I've missed quite a lot of classes because I can't wake up.,5.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
277,9/9/2020 18:57:29,20.0,Tamil Nadu,Female,Student in college but not final year.,Low,Yes,Yes. And it is worrying.,<1 hour/day,11:00:00 PM,100.0,8:00:00 AM,6.5,Fairly Bad,Less than once a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,Several days,More than half the days,More than half the days,More than half the days,Several days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine,Yes,No,They are not involved at all.,Low,,,,Medium,Low,Medium,Very High,,Very High,High,Medium,Very Low,Very High,High,27.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
278,9/9/2020 19:00:25,21.0,Maharashtra,Male,Student in college but not final year.,High,No,Yes. And it is worrying.,<1 hour/day,12:00:00 AM,1.0,7:00:00 AM,7.0,Very good,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Several days,Several days,Several days,Nearly every day,More than half the days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSMS Physics,Yes,No,They are not involved at all.,Very Low,,High,High,High,High,Medium,Very Low,Low,Medium,High,High,Low,Very Low,Medium,10.0,Everyday.,3.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
279,9/9/2020 19:07:24,17.0,Tamil Nadu,Male,Student in School.,Medium,No,No.,<1 hour/day,10:00:00 PM,5.0,6:00:00 AM,7.0,Fairly good,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Several days,Not at all,Several days,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,12th grade,28.0,Yes,No,They interfere a lot more now. And I don't like it.,Medium,,Very Low,Very Low,,Very Low,Very High,Low,Very Low,Very High,Medium,Medium,Low,Tuitions shifted to online support,Yes,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
280,9/9/2020 19:08:55,19.0,Tamil Nadu,Male,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,12:30:00 AM,15.0,7:45:00 AM,6.0,Fairly good,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Less than once a week.,Once or twice a week.,Not at all,Not at all,Several days,Several days,Nearly every day,More than half the days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cse,No,No,They are not involved at all.,Medium,High,Medium,High,Medium,Very Low,Very Low,Very High,High,High,High,Medium,Very High,Medium,Very High,27.0,Most of the time.,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
281,9/9/2020 19:11:25,18.0,Maharashtra,Male,Student in college but not final year.,Medium,No,Yes. And it is worrying.,<1 hour/day,2:00:00 AM,20.0,10:30:00 AM,8.0,Fairly good,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physics mainly astronomy,Yes,No,"Yes, they complement it. And I feel positive about it.",,,,,,Very Low,,Very Low,,Very Low,High,High,,,,7.0,Everyday.,5.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
282,9/9/2020 19:17:47,20.0,Kerala,Male,Student in college but not final year.,Medium,No,No.,<1 hour/day,11:00:00 PM,150.0,9:30:00 AM,9.5,Fairly Bad,Three or more times a week,Once or twice a week,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Three or more times a week,Three or more times a week,Once or twice a week,Three or more times a week,Not during the past month.,Not during the past month.,Three or more times a week.,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biology ,No,No,They are not involved at all.,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,High,High,High,Very Low,25.0,I've missed quite a lot of classes because I can't wake up.,3.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
283,9/9/2020 19:18:41,21.0,Tamil Nadu,Male,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,12:00:00 AM,10.0,10:15:00 AM,9.5,Fairly good,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,Several days,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS-MS Physics,No,No,They are not involved at all.,Very Low,,Medium,High,Medium,Medium,Medium,High,Low,Very Low,Low,Low,Very Low,Very Low,Low,15.0,Most of the time.,3.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
284,9/9/2020 19:22:53,20.0,Tamil Nadu,Female,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,1:00:00 AM,10.0,8:30:00 AM,7.0,Fairly good,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Several days,Several days,Several days,Not at all,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BS-MS, 3rd Year",Yes,No,They are not involved at all.,Very Low,,Very Low,,,Very Low,,,Very Low,,High,High,,,,18.0,Everyday.,4.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
285,9/9/2020 19:23:15,19.0,Delhi,Male,Student in college but not final year.,Medium,No,No.,<1 hour/day,3:00:00 AM,15.0,9:30:00 AM,6.0,Fairly good,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Not at all,Not at all,Several days,Not at all,Nearly every day,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No major yet so PCMB + ECS, HSS",No,No,They are not involved at all.,Very Low,Very Low,Low,Medium,High,Medium,Very High,Medium,Low,Low,Very Low,Very Low,Very Low,Medium,Medium,8.0,Most of the time.,4.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
286,9/9/2020 19:26:14,21.0,Tamil Nadu,Male,Student in Final Year of College,Low,No,No.,<1 hour/day,11:30:00 PM,60.0,9:30:00 AM,8.0,Fairly good,Three or more times a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Less than once a week.,Once or twice a week.,Several days,More than half the days,More than half the days,Several days,Not at all,Not at all,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Higher studies outside India,0.0,No,,Yes,,Yes,3.0,No,,Medium,Medium,,Very Low,Low,Low,,,,High,High,,Medium,,,,,,,,,,,,,,,,,7
287,9/9/2020 19:28:29,20.0,Kerala,Male,Student in college but not final year.,Medium,No,Yes. But I am not fazed by it.,<1 hour/day,11:20:00 PM,15.0,7:30:00 AM,8.0,Fairly good,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,Not at all,Not at all,Not at all,Several days,Several days,More than half the days,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science,Yes,No,They are not involved at all.,Very Low,Low,Low,Very Low,Very Low,Medium,Low,Medium,Low,Very High,High,Medium,Low,Low,Medium,17.0,Most of the time.,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
288,9/9/2020 19:33:13,21.0,Karnataka,Female,Student in college but not final year.,Medium,No,Yes. And it is worrying.,<1 hour/day,1:00:00 AM,20.0,9:00:00 AM,7.0,Very good,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Several days,More than half the days,Several days,Not at all,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSMS ,No,No,They are not involved at all.,Low,Very Low,Medium,High,Medium,High,High,Medium,Medium,Very High,Low,Medium,,,,12.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
289,9/9/2020 19:33:21,21.0,Karnataka,Female,Student in college but not final year.,Medium,No,Yes. And it is worrying.,<1 hour/day,1:00:00 AM,20.0,9:00:00 AM,7.0,Very good,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Several days,More than half the days,Several days,Not at all,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BSMS ,No,No,They are not involved at all.,Low,Very Low,Medium,High,Medium,High,High,Medium,Medium,Very High,Low,Medium,,,,12.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
290,9/9/2020 19:36:32,19.0,Tamil Nadu,Female,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,2:00:00 AM,15.0,9:00:00 AM,7.0,Fairly Bad,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Three or more times a week.,More than half the days,More than half the days,Nearly every day,Several days,Several days,Nearly every day,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBBS,No,No,They are not involved at all.,Medium,Medium,Very Low,Medium,Very Low,,Medium,Low,Very Low,Very High,Medium,Medium,Medium,Very Low,Very Low,9.0,Everyday.,2.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
291,9/9/2020 19:44:42,21.0,Kerala,Male,Student in college but not final year.,Medium,No,Yes. But I am not fazed by it.,<1 hour/day,11:00:00 PM,15.0,6:30:00 AM,7.0,Fairly good,Once or twice a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Once or twice a week,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Several days,Several days,Several days,More than half the days,Not at all,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd year bs-ms,No,No,They are not involved at all.,,Very Low,High,Low,Low,Low,Very High,High,High,Very High,Very High,Very High,Very High,High,High,21.0,I've missed quite a lot of classes because I can't wake up.,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
292,9/9/2020 19:49:09,17.0,Tamil Nadu,Male,Just finished 12th grade.,Low,No,Yes. And it is worrying.,<1 hour/day,12:00:00 AM,15.0,8:00:00 AM,8.0,Fairly good,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,Several days,Several days,Several days,Several days,Several days,Several days,Not at all,5.0,No,High,Medium,Very Low,Low,Very High,Very Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
293,9/9/2020 19:54:59,21.0,Maharashtra,Female,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,>3 hours/day,11:30:00 PM,45.0,7:30:00 AM,6.0,Fairly Bad,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month.,Not during the past month.,Three or more times a week.,Nearly every day,More than half the days,More than half the days,More than half the days,Several days,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS-MS ,No,No,"Yes, they complement it. And I feel positive about it.",Medium,,Very High,High,Very High,Very High,Very High,Medium,Very Low,Very High,Very High,Very High,Very High,,Medium,20.0,Everyday.,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
294,9/9/2020 20:02:45,20.0,Karnataka,Female,Student in Final Year of College,Medium,No,Yes. And it is worrying.,<1 hour/day,11:30:00 AM,30.0,8:00:00 AM,7.0,Fairly good,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,4.0,Yes,,,,Yes,2.0,Yes,Very Low,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low,Very Low,Low,,,,,,,,,,,,,,,,1
295,9/9/2020 20:15:54,19.0,Telangana,Male,Student in college but not final year.,Low,No,Yes. And it is worrying.,<1 hour/day,1:00:00 AM,30.0,9:30:00 AM,7.5,Fairly good,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS-MS third year,Yes,No,"Yes, they complement it. And I feel positive about it.",Medium,Medium,Very Low,Very Low,Medium,Medium,Very Low,Very Low,Very Low,Very Low,High,High,Very Low,Very Low,Very Low,24.0,Most of the time.,4.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
296,9/9/2020 20:17:14,20.0,Andhra Pradesh,Female,Student in Final Year of College,Low,No,Yes. But I am not fazed by it.,<1 hour/day,9:30:00 PM,5.0,6:30:00 AM,8.0,Very good,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,More than half the days,More than half the days,More than half the days,Not at all,Not at all,Nearly every day,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),30.0,No,There is no difference,,Yes. I might have to postpone applications to the next semester.,Yes,1.0,Yes,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,,,,,,,,,,,,,,,,11
297,9/9/2020 20:22:58,21.0,Andhra Pradesh,Male,Student in Final Year of College,High,No,Yes. But I am not fazed by it.,<1 hour/day,12:30:00 AM,25.0,6:30:00 AM,6.0,Fairly good,Not during the past month,Once or twice a week,Less than once a week,Once or twice a week,Less than once a week,Less than once a week,Less than once a week,Less than once a week,Less than once a week,Less than once a week,Not during the past month.,Not during the past month.,Not during the past month.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),0.0,Yes,Normal process is better.,,No. I need to apply for 2021 or cancel the plan and try off-campus for a job.,Yes,1.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
298,9/9/2020 20:23:47,20.0,Andhra Pradesh,Female,Student in college but not final year.,Medium,No,Yes. And it is worrying.,<1 hour/day,1:45:00 AM,10.0,7:30:00 AM,6.0,Fairly good,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Less than once a week.,More than half the days,More than half the days,More than half the days,Several days,More than half the days,Nearly every day,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicine 2nd yr,Yes,No,"Yes, they complement it. And I feel positive about it.",,,,,,,Very Low,Very High,Low,Very High,High,Medium,Medium,Medium,Medium,45.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
299,9/9/2020 20:25:00,19.0,Maharashtra,Female,Student in college but not final year.,Low,No,Yes. But I am not fazed by it.,<1 hour/day,12:00:00 AM,30.0,7:00:00 AM,6.5,Fairly good,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,Nearly every day,Several days,Several days,More than half the days,Not at all,Several days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS-MS,Yes,No,"Yes, they complement it. And I feel positive about it.",Very Low,Very Low,Very Low,,,,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,High,Very Low,,20.0,Everyday.,5.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
300,9/9/2020 20:33:09,21.0,Karnataka,Male,Student in college but not final year.,Medium,No,Yes. But I am not fazed by it.,<1 hour/day,2:00:00 AM,10.0,9:00:00 AM,7.0,Fairly good,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Less than once a week,Not during the past month,Not during the past month.,Not during the past month.,Three or more times a week.,Several days,Several days,More than half the days,Not at all,Not at all,More than half the days,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bs-Ms,Yes,No,They are not involved at all.,High,Low,Low,Very Low,Medium,High,Medium,Medium,Very Low,Very High,High,Very Low,,Very Low,Low,9.0,Most of the time.,4.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
301,9/9/2020 20:35:14,21.0,Andhra Pradesh,Male,Student in Final Year of College,I've tested positive for COVID-19.,No,No.,<1 hour/day,1:00:00 AM,40.0,8:00:00 AM,6.0,Fairly Bad,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Once or twice a week.,Several days,Not at all,Several days,Several days,Not at all,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),35.0,Yes,This is better,,No. I need to apply for 2021 or cancel the plan and try off-campus for a job.,Yes,3.0,No,Very Low,High,Very Low,Low,Very Low,Low,Low,Very Low,Very Low,Low,Medium,High,Very Low,Very Low,Medium,,,,,,,,,,,,,,,,7
302,9/9/2020 20:39:04,20.0,Tamil Nadu,Male,Student in college but not final year.,Medium,No,Yes. And it is worrying.,1-2 hours/day,2:00:00 AM,30.0,9:30:00 AM,7.5,Fairly good,Three or more times a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Less than once a week,Once or twice a week,Less than once a week,Once or twice a week.,Not during the past month.,Three or more times a week.,More than half the days,Several days,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BS-MS,No,No,They are not involved at all.,,,High,Low,Medium,Medium,Medium,Low,Medium,Medium,High,Low,Medium,Low,Medium,7.0,Most of the time.,3.0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
303,9/9/2020 20:43:43,21.0,Tamil Nadu,Male,Student in Final Year of College,High,No,Yes. But I am not fazed by it.,<1 hour/day,11:30:00 AM,2.0,7:30:00 AM,8.0,Fairly Bad,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Not during the past month.,Not during the past month.,Not during the past month.,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Work (Private Sector),0.0,Yes,,,,,4.0,Yes,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,,,,,,,,,,,,,,,,14
